Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,19,6,5,4,10,2,4,0,"1,643","1,351"
clearwater-tornadoes,16,10,5,3,7,6,4,1,"1,697","1,475"
countryside-cougars,20,7,7,2,8,1,5,4,"2,050","1,657"
dunedin-falcons,2,16,1,8,1,8,0,0,959,"1,338"
east-lake-eagles,16,10,5,3,5,4,6,3,"1,897","1,667"
gibbs-gladiators,21,6,9,4,8,1,4,1,"1,756","1,446"
hollins-royals,3,22,0,8,3,14,0,0,"1,108","1,689"
lakewood-spartans,14,12,7,4,5,4,2,4,"1,524","1,383"
largo-packers,16,12,9,1,4,6,3,5,"1,823","1,587"
northeast-vikings,18,9,7,2,8,5,3,2,"1,744","1,509"
seminole-warhawks,14,8,7,4,3,3,4,1,"1,358","1,275"
osceola-warriors,10,16,4,6,5,9,1,1,"1,456","1,770"
st-petersburg-green-devils,24,6,11,1,8,1,5,4,"2,216","1,889"
palm-harbor-university-hurricanes,8,17,3,7,3,7,2,3,"1,459","1,632"
tarpon-springs-spongers,0,17,0,8,0,8,0,1,636,"1,309"
pinellas-park-patriots,12,15,6,7,3,6,3,2,"1,769","1,811"
keswick-christian-crusaders,13,14,8,9,4,4,1,1,"1,439","1,504"
northside-christian-mustangs,8,18,4,9,3,8,1,1,"1,359","1,636"
canterbury-crusaders,15,13,8,4,4,5,3,4,"1,572","1,542"
calvary-christian-warriors,16,11,9,2,5,7,2,2,"1,754","1,550"
lakeside-christian-lions,11,11,5,5,6,6,0,0,921,926
st-petersburg-catholic-barons,12,13,7,5,5,7,0,1,"1,435","1,445"
indian-rocks-christian-golden-eagles,4,22,4,12,0,10,0,0,"1,230","1,658"
clearwater-central-catholic-marauders,16,11,9,5,4,5,3,1,"1,501","1,389"
admiral-farragut-blue-jackets,18,8,5,1,9,2,4,5,"1,580","1,329"
